phase_label,count_total,frac_total,count_no_boundary,frac_no_boundary,is_boundary,is_excluded,edge_mean,edge_std,int_mean,int_std
0,591686,0.48151529947916666,591686,0.48151529947916666,0,0,0.06435069441795349,0.06515850126743317,0.6201740503311157,0.030900204554200172
1,391757,0.31881266276041664,391757,0.31881266276041664,0,0,0.08547183871269226,0.07422368228435516,0.3781247138977051,0.07830736041069031
2,245357,0.19967203776041667,245357,0.19967203776041667,0,0,0.36529719829559326,0.11125694960355759,0.503311038017273,0.12377465516328812
