phase_label,count_total,frac_total,count_no_boundary,frac_no_boundary,is_boundary,is_excluded,edge_mean,edge_std,int_mean,int_std
0,573379,0.46661702473958333,573379,0.5049052629539713,0,0,0.0838412493467331,0.05775342881679535,0.6132380366325378,0.03121551126241684
1,273623,0.22267496744791668,273623,0.24094655152221214,0,0,0.15839290618896484,0.08554843068122864,0.43520504236221313,0.04266927391290665
2,100501,0.08178792317708333,100501,0.08849902740096353,0,0,0.1840130239725113,0.10091812908649445,0.2586395740509033,0.05598749592900276
3,188114,0.15308756510416666,188114,0.16564915812285305,0,0,0.3533695340156555,0.11063075810670853,0.5928325653076172,0.050706613808870316
4,93183,0.07583251953125,0,0.0,1,1,0.5359773635864258,0.1309984028339386,0.3426090180873871,0.10183573514223099
