phase_label,count_total,frac_total,count_no_boundary,frac_no_boundary,is_boundary,is_excluded,edge_mean,edge_std,int_mean,int_std
0,805764,0.655732421875,805764,0.655732421875,0,0,0.036109309643507004,0.05643452703952789,0.6301295161247253,0.015222716145217419
1,233389,0.18993245442708334,233389,0.18993245442708334,0,0,0.07115671783685684,0.07924720644950867,0.39776283502578735,0.0611717514693737
2,189647,0.15433512369791666,189647,0.15433512369791666,0,0,0.42124122381210327,0.10239361971616745,0.5282880663871765,0.11488421261310577
