phase_label,count_total,frac_total,count_no_boundary,frac_no_boundary,is_boundary,is_excluded,edge_mean,edge_std,int_mean,int_std
0,601734,0.4896923828125,601734,0.5367789197053726,0,0,0.08654846996068954,0.05920907482504845,0.6093448996543884,0.036139268428087234
1,322113,0.26213623046875,322113,0.28734202847613177,0,0,0.15493330359458923,0.08319013565778732,0.38300082087516785,0.08261197805404663
2,197162,0.16045084635416668,197162,0.17587905181849567,0,0,0.35885852575302124,0.11715658009052277,0.5863462090492249,0.05489226058125496
3,107791,0.08772054036458334,0,0.0,1,1,0.49712419509887695,0.13902685046195984,0.32006990909576416,0.09463516622781754
