phase_label,count_total,frac_total,count_no_boundary,frac_no_boundary,is_boundary,is_excluded,edge_mean,edge_std,int_mean,int_std
0,706996,0.5753548177083333,706996,0.5753548177083333,0,0,0.11332713067531586,0.08652807027101517,0.6076741218566895,0.03783455118536949
1,335569,0.2730867513020833,335569,0.2730867513020833,0,0,0.1662040799856186,0.0919005423784256,0.3734831213951111,0.08737730234861374
2,186235,0.15155843098958333,186235,0.15155843098958333,0,0,0.48556503653526306,0.12714160978794098,0.45741331577301025,0.13956238329410553
